Run #1	Run #1
Time (s)	Voltage (V)
82.300	3.354
82.350	3.359
82.400	3.354
82.450	3.354
82.500	3.354
82.550	3.354
82.600	3.350
82.650	3.359
82.700	3.354
82.750	3.354
82.800	3.354
82.850	3.359
82.900	3.354
82.950	3.359
83.000	3.359
83.050	3.359
83.100	3.359
83.150	3.359
83.200	3.359
83.250	3.359
83.300	3.359
83.350	3.359
83.400	3.359
83.450	3.354
83.500	3.359
83.550	3.359
83.600	3.354
83.650	3.359
83.700	3.354
83.750	3.364
83.800	3.359
83.850	3.359
83.900	3.354
83.950	3.359
84.000	3.359
84.050	3.359
84.100	3.359
84.150	3.359
84.200	3.359
84.250	3.359
84.300	3.359
84.350	3.359
84.400	3.354
84.450	3.359
84.500	3.354
84.550	3.359
84.600	3.359
84.650	3.359
84.700	3.364
84.750	3.359
84.800	3.359
84.850	3.359
84.900	3.354
84.950	3.359
85.000	3.359
85.050	3.359
85.100	3.359
85.150	3.359
85.200	3.354
85.250	3.359
85.300	3.354
85.350	3.359
85.400	3.359
85.450	3.359
85.500	3.359
85.550	3.359
85.600	3.359
85.650	3.359
85.700	3.359
85.750	3.359
85.800	3.354
85.850	3.359
85.900	3.359
85.950	3.359
86.000	3.359
86.050	3.359
86.100	3.354
86.150	3.354
86.200	3.359
86.250	3.354
86.300	3.354
86.350	3.359
